ts: 5573.424, i: 0.047241, j: 0.286194, k: -0.251343, real: 0.923401, acc: 3.141602
ts: 5605.675, i: 0.046753, j: 0.286499, k: -0.251526, real: 0.923279, acc: 3.141602
ts: 5638.073, i: 0.049011, j: 0.285156, k: -0.253174, real: 0.923157, acc: 3.141602
ts: 5673.308, i: 0.051392, j: 0.286194, k: -0.254578, real: 0.922302, acc: 3.141602
ts: 5705.930, i: 0.053833, j: 0.286560, k: -0.254150, real: 0.922180, acc: 3.141602
ts: 5738.474, i: 0.055176, j: 0.286438, k: -0.254211, real: 0.922119, acc: 3.141602
ts: 5773.479, i: 0.058167, j: 0.286743, k: -0.253601, real: 0.921997, acc: 3.141602
ts: 5806.355, i: 0.060669, j: 0.289185, k: -0.252930, real: 0.921265, acc: 3.141602
ts: 5838.522, i: 0.065552, j: 0.290649, k: -0.250549, real: 0.921143, acc: 3.141602
ts: 5873.637, i: 0.067810, j: 0.290527, k: -0.248657, real: 0.921509, acc: 3.141602
ts: 5906.081, i: 0.066711, j: 0.291809, k: -0.246704, real: 0.921692, acc: 3.141602
ts: 5939.042, i: 0.069580, j: 0.293823, k: -0.243408, real: 0.921753, acc: 3.141602
ts: 5973.835, i: 0.071716, j: 0.295593, k: -0.242920, real: 0.921143, acc: 3.141602
ts: 6006.456, i: 0.068054, j: 0.295776, k: -0.241516, real: 0.921753, acc: 3.141602
ts: 6038.973, i: 0.068909, j: 0.295654, k: -0.238831, real: 0.922363, acc: 3.141602
ts: 6071.451, i: 0.071106, j: 0.294922, k: -0.237305, real: 0.922852, acc: 3.141602
ts: 6106.690, i: 0.067505, j: 0.295471, k: -0.237549, real: 0.922852, acc: 3.141602
ts: 6149.660, i: 0.064575, j: 0.292480, k: -0.236389, real: 0.924316, acc: 3.141602
ts: 6186.752, i: 0.062500, j: 0.290405, k: -0.234863, real: 0.925537, acc: 3.141602
ts: 6214.332, i: 0.062317, j: 0.290649, k: -0.235046, real: 0.925415, acc: 3.141602
ts: 6264.466, i: 0.057922, j: 0.292419, k: -0.237244, real: 0.924561, acc: 3.141602
ts: 6302.071, i: 0.056030, j: 0.291443, k: -0.237244, real: 0.924988, acc: 3.141602
ts: 6326.956, i: 0.056946, j: 0.291016, k: -0.237610, real: 0.924988, acc: 3.141602
ts: 6347.060, i: 0.057190, j: 0.290649, k: -0.238159, real: 0.924988, acc: 3.141602
ts: 6377.081, i: 0.057068, j: 0.289856, k: -0.238525, real: 0.925110, acc: 3.141602
ts: 6409.811, i: 0.057739, j: 0.290466, k: -0.237793, real: 0.925049, acc: 3.141602
ts: 6442.201, i: 0.058289, j: 0.291992, k: -0.237366, real: 0.924683, acc: 3.141602
ts: 6474.847, i: 0.060974, j: 0.291565, k: -0.238037, real: 0.924438, acc: 3.141602
ts: 6510.139, i: 0.062256, j: 0.292236, k: -0.237976, real: 0.924133, acc: 3.141602
ts: 6542.447, i: 0.064148, j: 0.294128, k: -0.236877, real: 0.923706, acc: 3.141602
ts: 6575.122, i: 0.064880, j: 0.293823, k: -0.235657, real: 0.924072, acc: 3.141602
ts: 6605.485, i: 0.065186, j: 0.289185, k: -0.235229, real: 0.925598, acc: 3.141602
ts: 6637.649, i: 0.063904, j: 0.286011, k: -0.233704, real: 0.927063, acc: 3.141602
ts: 6673.087, i: 0.066345, j: 0.288696, k: -0.230164, real: 0.927002, acc: 3.141602
ts: 6705.417, i: 0.073669, j: 0.291260, k: -0.227234, real: 0.926331, acc: 3.141602
ts: 6738.174, i: 0.078186, j: 0.291077, k: -0.226440, real: 0.926208, acc: 3.141602
ts: 6773.211, i: 0.075012, j: 0.291687, k: -0.224915, real: 0.926697, acc: 3.141602
ts: 6805.435, i: 0.071533, j: 0.291748, k: -0.221802, real: 0.927673, acc: 3.141602
ts: 6838.154, i: 0.072266, j: 0.294006, k: -0.216553, real: 0.928162, acc: 3.141602
ts: 6873.035, i: 0.075378, j: 0.296387, k: -0.211853, real: 0.928223, acc: 3.141602
ts: 6905.499, i: 0.075012, j: 0.299622, k: -0.208679, real: 0.927917, acc: 3.141602
ts: 6938.337, i: 0.070129, j: 0.301331, k: -0.206238, real: 0.928345, acc: 3.141602
ts: 6973.353, i: 0.056396, j: 0.302917, k: -0.196106, real: 0.930908, acc: 3.141602
ts: 7006.140, i: 0.041504, j: 0.302063, k: -0.185120, real: 0.934204, acc: 3.141602
ts: 7038.510, i: 0.028748, j: 0.302307, k: -0.177551, real: 0.936096, acc: 3.141602
ts: 7066.301, i: 0.016418, j: 0.305237, k: -0.171326, real: 0.936584, acc: 3.141602
ts: 7098.580, i: 0.005066, j: 0.306458, k: -0.164612, real: 0.937500, acc: 3.141602
ts: 7133.705, i: 0.011475, j: 0.305420, k: -0.158447, real: 0.938843, acc: 3.141602
ts: 7181.223, i: 0.043396, j: 0.311707, k: -0.159363, real: 0.935730, acc: 3.141602
ts: 7219.138, i: 0.066162, j: 0.317505, k: -0.162354, real: 0.931885, acc: 3.141602
ts: 7256.433, i: 0.073669, j: 0.322021, k: -0.163147, real: 0.929626, acc: 3.141602
ts: 7291.379, i: 0.074219, j: 0.323547, k: -0.161560, real: 0.929382, acc: 3.141602
ts: 7308.949, i: 0.074280, j: 0.323669, k: -0.159363, real: 0.929688, acc: 3.141602
ts: 7353.989, i: 0.072693, j: 0.327209, k: -0.155334, real: 0.929260, acc: 3.141602
ts: 7376.863, i: 0.074585, j: 0.328857, k: -0.149780, real: 0.929443, acc: 3.141602
ts: 7409.063, i: 0.083862, j: 0.328064, k: -0.143677, real: 0.929932, acc: 3.141602
ts: 7441.793, i: 0.094360, j: 0.325317, k: -0.143433, real: 0.929871, acc: 3.141602
ts: 7477.176, i: 0.096802, j: 0.319031, k: -0.138123, real: 0.932617, acc: 3.141602
ts: 7501.872, i: 0.092468, j: 0.315552, k: -0.136047, real: 0.934570, acc: 3.141602
ts: 7532.014, i: 0.087585, j: 0.312744, k: -0.136597, real: 0.935852, acc: 3.141602
ts: 7564.434, i: 0.085266, j: 0.307739, k: -0.130066, real: 0.938660, acc: 3.141602
ts: 7597.137, i: 0.080444, j: 0.301575, k: -0.119751, real: 0.942444, acc: 3.141602
ts: 7639.520, i: 0.073181, j: 0.298950, k: -0.109741, real: 0.945129, acc: 3.141602
ts: 7677.196, i: 0.073303, j: 0.298889, k: -0.102478, real: 0.945923, acc: 3.141602
ts: 7704.774, i: 0.074646, j: 0.297546, k: -0.100037, real: 0.946533, acc: 3.141602
ts: 7739.819, i: 0.073486, j: 0.292725, k: -0.099243, real: 0.948181, acc: 3.141602
ts: 7772.364, i: 0.069092, j: 0.292480, k: -0.095337, real: 0.948975, acc: 3.141602
ts: 7805.085, i: 0.066711, j: 0.294739, k: -0.089050, real: 0.949097, acc: 3.141602
ts: 7840.011, i: 0.066895, j: 0.293640, k: -0.084473, real: 0.949829, acc: 3.141602
ts: 7872.637, i: 0.065369, j: 0.295349, k: -0.079895, real: 0.949768, acc: 3.141602
ts: 7905.127, i: 0.067017, j: 0.297241, k: -0.073425, real: 0.949646, acc: 3.141602
ts: 7937.738, i: 0.068848, j: 0.297119, k: -0.066101, real: 0.950073, acc: 3.141602
ts: 7995.215, i: 0.066956, j: 0.292358, k: -0.055420, real: 0.952332, acc: 3.141602
ts: 8022.797, i: 0.067566, j: 0.288513, k: -0.051880, real: 0.953674, acc: 3.141602
ts: 8055.314, i: 0.063477, j: 0.286255, k: -0.047546, real: 0.954895, acc: 3.141602
ts: 8085.402, i: 0.057129, j: 0.283875, k: -0.042786, real: 0.956177, acc: 3.141602
ts: 8098.164, i: 0.054504, j: 0.282288, k: -0.040771, real: 0.956909, acc: 3.141602
ts: 8130.757, i: 0.047241, j: 0.278076, k: -0.034790, real: 0.958740, acc: 3.141602
ts: 8175.541, i: 0.038879, j: 0.273376, k: -0.027405, real: 0.960754, acc: 3.141602
ts: 8208.163, i: 0.031982, j: 0.270020, k: -0.023010, real: 0.962036, acc: 3.141602
ts: 8258.828, i: 0.023560, j: 0.266663, k: -0.016418, real: 0.963379, acc: 3.141602
ts: 8295.849, i: 0.020264, j: 0.265686, k: -0.011292, real: 0.963745, acc: 3.141602
ts: 8330.832, i: 0.021057, j: 0.264099, k: -0.008667, real: 0.964233, acc: 3.141602
ts: 8361.137, i: 0.022705, j: 0.263123, k: -0.006470, real: 0.964478, acc: 3.141602
ts: 8393.952, i: 0.024658, j: 0.263000, k: -0.002563, real: 0.964478, acc: 3.141602
ts: 8423.730, i: 0.025513, j: 0.262085, k: 0.000183, real: 0.964722, acc: 3.141602
ts: 8443.700, i: 0.024536, j: 0.262207, k: 0.001160, real: 0.964722, acc: 3.141602
ts: 8476.317, i: 0.022705, j: 0.261719, k: 0.003906, real: 0.964844, acc: 3.141602
ts: 8508.983, i: 0.021606, j: 0.260986, k: 0.004517, real: 0.965088, acc: 3.141602
ts: 8541.744, i: 0.022034, j: 0.261902, k: 0.006042, real: 0.964844, acc: 3.141602
ts: 8574.140, i: 0.023804, j: 0.263916, k: 0.006470, real: 0.964233, acc: 3.141602
ts: 8604.050, i: 0.025146, j: 0.265991, k: 0.006165, real: 0.963623, acc: 3.141602
ts: 8639.033, i: 0.023926, j: 0.268250, k: 0.006836, real: 0.963013, acc: 3.141602
ts: 8679.274, i: 0.018250, j: 0.267151, k: 0.009277, real: 0.963440, acc: 3.141602
ts: 8705.429, i: 0.011658, j: 0.267883, k: 0.011475, real: 0.963318, acc: 3.141602
ts: 8739.271, i: 0.004272, j: 0.272339, k: 0.014832, real: 0.962097, acc: 3.141602
ts: 8771.776, i: 0.004822, j: 0.274963, k: 0.014404, real: 0.961304, acc: 3.141602
ts: 8804.561, i: 0.004700, j: 0.272949, k: 0.014954, real: 0.961914, acc: 3.141602
ts: 8839.472, i: 0.002258, j: 0.270752, k: 0.013306, real: 0.962585, acc: 3.141602
ts: 8872.115, i: 0.003967, j: 0.272034, k: 0.010498, real: 0.962219, acc: 3.141602
ts: 8904.738, i: 0.009583, j: 0.275574, k: 0.009338, real: 0.961182, acc: 3.141602
ts: 8939.800, i: 0.012512, j: 0.275757, k: 0.009338, real: 0.961121, acc: 3.141602
ts: 8989.917, i: 0.010742, j: 0.270813, k: 0.002930, real: 0.962585, acc: 3.141602
ts: 9004.895, i: 0.009949, j: 0.271545, k: 0.002563, real: 0.962402, acc: 3.141602
ts: 9039.931, i: 0.015076, j: 0.275757, k: 0.000854, real: 0.961121, acc: 3.141602
ts: 9072.437, i: 0.025879, j: 0.276367, k: -0.004028, real: 0.960693, acc: 3.141602
ts: 9105.018, i: 0.028564, j: 0.270203, k: -0.010864, real: 0.962341, acc: 3.141602
ts: 9139.971, i: 0.024597, j: 0.264099, k: -0.019287, real: 0.963989, acc: 3.141602
ts: 9187.619, i: 0.026306, j: 0.262695, k: -0.025208, real: 0.964172, acc: 3.141602
ts: 9230.151, i: 0.037415, j: 0.264221, k: -0.036194, real: 0.963074, acc: 3.141602
ts: 9260.692, i: 0.045044, j: 0.266235, k: -0.045532, real: 0.961792, acc: 3.141602
ts: 9285.311, i: 0.048340, j: 0.267761, k: -0.048035, real: 0.961060, acc: 3.141602
